repx,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
2,12,-1.35,conditionleft,-0.59654280211575,0.5713310779784733,-1.703565,0.5334969000000003
2,12,-1.35,conditionright,0.12571130032275,0.23413962750887315,-0.3460469,0.5885226500000001
2,12,-1,Intercept,14.6522091,0.4574543730778535,13.705,15.532505000000002
2,12,-1,conditionleft,-1.1455593372085,0.42842188675096987,-1.9789080000000001,-0.26934274999999974
2,12,-1,conditionright,-0.305257822364,0.22192956721556567,-0.740648675,0.13819267500000001
2,16,-1.71,Intercept,14.956377025,0.31182782049082375,14.343007499999999,15.58449
2,16,-1.71,conditionleft,-1.981289325,0.35881194523159216,-2.70315525,-1.2944035
2,16,-1.71,conditionright,-0.01329303704655,0.18992854299383694,-0.37826825,0.37026670000000006
2,16,-1.35,Intercept,15.4220387,0.32976582317129677,14.7743425,16.07774
2,16,-1.35,conditionleft,-1.451671248025,0.3822293024295548,-2.2020787499999996,-0.6704281499999998
2,16,-1.35,conditionright,-0.2437380380923,0.21724848711314565,-0.67150325,0.19414062500000004
2,16,-1,Intercept,14.8984089,0.3055769481629826,14.2840325,15.489112500000001
2,16,-1,conditionleft,-1.1006363784,0.32605392399362315,-1.73299675,-0.4462660499999999
2,16,-1,conditionright,-0.27579718578335,0.18059124586567016,-0.635254325,0.08656281500000008
3,8,-1.71,Intercept,14.81229425,0.5347334807600875,13.736815,15.884795
3,8,-1.71,conditionleft,-1.524518506328,0.4984015137883248,-2.5032472499999994,-0.49530537499999977
3,8,-1.71,conditionright,-0.0091215404369,0.28890381021425166,-0.585271425,0.553658925
3,8,-1.35,Intercept,14.57164645,0.5262948993888105,13.479062500000001,15.61943
3,8,-1.35,conditionleft,-1.0253384672525,0.6090209486739679,-2.2101284999999997,0.19646375000000021
3,8,-1.35,conditionright,0.00654825242775425,0.2803389467193632,-0.5529162000000001,0.5636766000000002
3,8,-1,Intercept,15.118068275,0.2970469971328625,14.5305825,15.695545
3,8,-1,conditionleft,-1.14936548277,0.5946981073783469,-2.3064067500000003,0.06764752250000002
3,8,-1,conditionright,-0.44718617967675,0.44028962680510375,-1.2885034999999998,0.43339335000000007
3,12,-1.71,Intercept,15.75665635,0.38680762968208443,14.954102500000001,16.5266025
3,12,-1.71,conditionleft,-2.07896772875,0.3412912532499909,-2.75773875,-1.39061725
3,12,-1.71,conditionright,-0.463614217281375,0.2341379404923165,-0.9244499,0.018302902500000037
3,12,-1.35,Intercept,14.43035215,0.437743358833036,13.5319875,15.2850725
3,12,-1.35,conditionleft,-0.61808244619875,0.41386701401758275,-1.41810375,0.18431232500000005
3,12,-1.35,conditionright,-0.0959036461145,0.2090779027793825,-0.502107175,0.31745465000000006
3,12,-1,Intercept,14.577173075,0.4284634623829594,13.7371825,15.435374999999999
3,12,-1,conditionleft,-1.127717832385,0.44088774456294993,-1.98706275,-0.22954772499999931
3,12,-1,conditionright,-0.1775550605354425,0.2047520376358597,-0.5864415249999999,0.22522582500000007
3,16,-1.71,Intercept,15.11497675,0.401051970666186,14.2920325,15.8919075
3,16,-1.71,conditionleft,-1.480545816575,0.38791984756451503,-2.2497249999999998,-0.7105706
3,16,-1.71,conditionright,-0.333287705674525,0.21792043312016662,-0.765474825,0.09499894250000022
3,16,-1.35,Intercept,14.691572275,0.410943839366893,13.86197,15.491047499999999
3,16,-1.35,conditionleft,-0.72094378862075,0.4234591965534143,-1.53556,0.1210264500000003
3,16,-1.35,conditionright,-0.130733083194425,0.235711940715912,-0.588165275,0.3476319
3,16,-1,Intercept,14.695866375,0.3000427742063584,14.09537,15.28089
3,16,-1,conditionleft,-0.92363649949,0.31696421019627874,-1.5471995,-0.3040017249999997
3,16,-1,conditionright,-0.099004145512175,0.15106170167673538,-0.39069869999999995,0.1949330750000003
4,8,-1.71,Intercept,14.944290075,0.45966111431575096,14.036895,15.877837500000002
4,8,-1.71,conditionleft,-2.2623163484575,0.6960680712973597,-3.6428737499999997,-0.8533056249999997
4,8,-1.71,conditionright,0.11652040941855,0.28449765103364194,-0.4440589,0.6836782750000001
4,8,-1.35,Intercept,15.0762566,0.5754264120331603,13.939545,16.186395
4,8,-1.35,conditionleft,-1.3340271563275,0.6924636423900384,-2.669682,0.09502682250000082
4,8,-1.35,conditionright,-0.313199350038,0.28850932977619015,-0.8881572249999999,0.24419862500000003
4,8,-1,Intercept,15.602784625,0.3431402919012731,14.9007125,16.286057500000002
4,8,-1,conditionleft,-1.2475143878075,0.39176338254023324,-2.01382225,-0.4459412749999999
4,8,-1,conditionright,-0.169873399481125,0.28626365887798383,-0.7246423500000001,0.3775026250000001
4,12,-1.71,Intercept,14.38720655,0.4577555174441212,13.473092500000002,15.288065000000001
4,12,-1.71,conditionleft,-1.837981577275,0.48978486677939886,-2.7778854999999996,-0.8590063749999997
4,12,-1.71,conditionright,-0.48210168527075,0.2896520742186264,-1.0599955,0.09340170000000013
4,12,-1.35,Intercept,14.889317225,0.2742277864030344,14.328575,15.4172725
4,12,-1.35,conditionleft,-0.9156776537315,0.5343049067327977,-1.9902624999999998,0.11967267500000024
4,12,-1.35,conditionright,-0.07681215137125,0.23615495117215998,-0.537848275,0.40133500000000005
4,12,-1,Intercept,14.95842925,0.3514107290259592,14.2728875,15.6539075
4,12,-1,conditionleft,-1.19699230368625,0.5525321340195948,-2.264917,-0.0807892374999992
4,12,-1,conditionright,0.176254117558,0.24244848680551603,-0.30920395,0.6496599000000002
4,16,-1.71,Intercept,15.2163857,0.27055944296689155,14.66202,15.755230000000001
4,16,-1.71,conditionleft,-1.371624629,0.2879480093313328,-1.9427135,-0.792555575
4,16,-1.71,conditionright,-0.05821863458825,0.20337063780258127,-0.452513975,0.3418719000000001
4,16,-1.35,Intercept,14.699764175,0.25091309853178867,14.2041775,15.1910575
4,16,-1.35,conditionleft,-0.40896420345525,0.497826775304261,-1.3868714999999998,0.6261797500000001
4,16,-1.35,conditionright,0.195135662942125,0.1835220445336465,-0.170861925,0.56122765
4,16,-1,Intercept,14.95433165,0.3319853595838558,14.274055,15.620955
4,16,-1,conditionleft,-0.630947234093,0.42514474605941405,-1.4702395,0.22622882500000024
4,16,-1,conditionright,-0.025130896436565,0.19874858344455276,-0.41144047499999997,0.3689436000000003
5,8,-1.71,Intercept,14.84866415,0.5225836100205814,13.78198,15.855707500000001
5,8,-1.71,conditionleft,-1.9935936167525,0.5955124199309816,-3.164972,-0.7654294999999999
5,8,-1.71,conditionright,-0.37957965274575,0.26329205919681126,-0.8939471499999999,0.13360740000000018
5,8,-1.35,Intercept,15.15444885,0.6726569910962014,13.8073075,16.507202500000002
5,8,-1.35,conditionleft,-1.9952558323575,0.667279544080124,-3.2547094999999997,-0.6209207999999995
5,8,-1.35,conditionright,0.04955394884997,0.3084137031496478,-0.549300125,0.66208425
5,8,-1,Intercept,15.487818575,0.45024564512353427,14.57302,16.37431
5,8,-1,conditionleft,-1.5997171679425,0.5476197544589928,-2.688721,-0.5242861249999998
5,8,-1,conditionright,0.071653874155625,0.29924595551691135,-0.5090941,0.65828205
5,12,-1.71,Intercept,15.347835175,0.42981749233180117,14.480745,16.187637499999997
5,12,-1.71,conditionleft,-1.638219002575,0.42213745885296367,-2.471973,-0.8026411999999999
5,12,-1.71,conditionright,0.15880002354,0.21736846782578978,-0.25708185,0.5955102500000001
5,12,-1.35,Intercept,14.71063625,0.43284634770449176,13.8187925,15.54102
5,12,-1.35,conditionleft,-1.2903268144925,0.4839274752216505,-2.23420325,-0.31408532499999947
5,12,-1.35,conditionright,-0.15311876900425,0.25694398535401786,-0.652627075,0.37123667500000007
5,12,-1,Intercept,14.43829775,0.3244342305343613,13.794274999999999,15.0679275
5,12,-1,conditionleft,-0.5396486376926,0.4244049669427433,-1.3646802500000002,0.33930437500000016
5,12,-1,conditionright,-0.208716745647225,0.19563210348353763,-0.5970975,0.17533745
5,16,-1.71,Intercept,15.1593013,0.3255280878316061,14.509689999999999,15.7842325
5,16,-1.71,conditionleft,-1.52571786375,0.285713184208922,-2.0737870000000003,-0.93597735
5,16,-1.71,conditionright,-0.1276066566505,0.1799258232067974,-0.4890755,0.2281473250000001
5,16,-1.35,Intercept,15.104277675,0.2751201308350446,14.548865,15.64802
5,16,-1.35,conditionleft,-1.824999157,0.3279022275452877,-2.49097,-1.1776305
5,16,-1.35,conditionright,0.125135284003775,0.17100942502646607,-0.207856975,0.45660734999999997
5,16,-1,Intercept,14.929168925,0.32642862716680177,14.281295,15.58592
5,16,-1,conditionleft,-0.8222974741525,0.32994878355695245,-1.48153625,-0.1751246249999991
5,16,-1,conditionright,4.636423250250001e-4,0.2178270385032851,-0.42972165,0.4353260250000002
6,8,-1.71,Intercept,15.311963175,0.3808088913081523,14.551415,16.11491
6,8,-1.71,conditionleft,-3.2748139375,0.41335232966300134,-4.090878,-2.4243419999999998
6,8,-1.71,conditionright,-0.1039787774753,0.29464916392693286,-0.662954025,0.4571288500000001
6,8,-1.35,Intercept,14.5164605,0.3432447732717056,13.8144125,15.187915000000002
6,8,-1.35,conditionleft,-1.40992951525,0.47542509596486815,-2.3267135,-0.4564147249999997
6,8,-1.35,conditionright,0.3383637728676,0.3293796855001198,-0.33216389999999996,1.00712175
6,8,-1,Intercept,14.80627135,0.3071669120154981,14.16604,15.43961
6,8,-1,conditionleft,-1.504275646755,0.5723842802008883,-2.60004225,-0.32831185
6,8,-1,conditionright,-0.633415365685,0.31046929579676374,-1.2562155,-0.018963594999999996
6,12,-1.71,Intercept,14.514470375,0.38997172561168264,13.7665075,15.28034
6,12,-1.71,conditionleft,-1.404517836675,0.47314265482555057,-2.3134842499999997,-0.480054425
6,12,-1.71,conditionright,-0.0879543894521,0.204303076967827,-0.5028864999999999,0.31045635000000027
6,12,-1.35,Intercept,14.943819875,0.20465576706565755,14.535485000000001,15.358002500000001
6,12,-1.35,conditionleft,-1.2572413450825,0.34156867885970016,-1.9442897499999998,-0.5720439249999999
6,12,-1.35,conditionright,-0.4901795852945,0.2808453194905381,-1.0498129999999999,0.07659888250000015
6,12,-1,Intercept,14.835479325,0.4939192769452098,13.8598225,15.800425
6,12,-1,conditionleft,-0.3054920839785,0.5369008872868497,-1.36048875,0.7346238500000004
6,12,-1,conditionright,-0.292184581361775,0.22905919521186874,-0.7438473499999999,0.16339195000000006
6,16,-1.71,Intercept,14.815832025,0.46551476345079223,13.937187500000002,15.7642
6,16,-1.71,conditionleft,-1.408654076725,0.41283120601182205,-2.2436815,-0.599142075
6,16,-1.71,conditionright,-0.15045425814975,0.2700640709117365,-0.7232356499999999,0.3628405750000001
6,16,-1.35,Intercept,14.8969845,0.20450049323334937,14.492282500000002,15.305187499999999
6,16,-1.35,conditionleft,-1.200395080875,0.2835941867621802,-1.7764919999999997,-0.659859225
6,16,-1.35,conditionright,0.008482302108,0.15952108637546464,-0.308659325,0.32158200000000003
6,16,-1,Intercept,15.738860725,0.26997992094673073,15.204867499999999,16.2577
6,16,-1,conditionleft,-1.0132310434475,0.3272374930354329,-1.6531075,-0.355323725
6,16,-1,conditionright,-0.2206685866483,0.17301209029684037,-0.5593014999999999,0.11806795000000002
7,8,-1.71,Intercept,15.2439789,0.49897910208331264,14.1896925,16.225175000000004
7,8,-1.71,conditionleft,-2.0043875965,0.48427670599539074,-2.9721305,-1.0175054999999995
7,8,-1.71,conditionright,0.08173730721185,0.2565799711713034,-0.43815497499999995,0.588411825
7,8,-1.35,Intercept,15.506276075,0.5416239425966072,14.439675,16.6490525
7,8,-1.35,conditionleft,-2.32031259613175,0.5774302462264509,-3.4503405,-1.1563705
7,8,-1.35,conditionright,-0.350039436932,0.36042804455700206,-1.06918475,0.39596600000000065
7,8,-1,Intercept,14.378018275,0.640125120906943,13.0535875,15.617910000000002
7,8,-1,conditionleft,-1.140271203185,0.6783912743176801,-2.43113825,0.24955450000000026
7,8,-1,conditionright,-0.34143973679725,0.2666115038044227,-0.862528925,0.18577440000000026
7,12,-1.71,Intercept,15.177700025,0.3350945834499026,14.526594999999999,15.8435275
7,12,-1.71,conditionleft,-1.8840022991,0.44889993927873845,-2.79353325,-1.0014795
7,12,-1.71,conditionright,-0.3335529280105,0.28639292177799097,-0.902243025,0.22943750000000002
7,12,-1.35,Intercept,15.7877006,0.35037949049777495,15.117935000000001,16.4991375
7,12,-1.35,conditionleft,-2.1040147540025,0.37823297693705565,-2.839065,-1.3348475000000002
7,12,-1.35,conditionright,-0.42056156271125,0.22472587384362477,-0.8578764249999999,0.0295041525000005
7,12,-1,Intercept,14.979365825,0.34742276723664495,14.2758275,15.6618125
7,12,-1,conditionleft,-1.20678799938825,0.4377807392236244,-2.0403245,-0.3098073249999996
7,12,-1,conditionright,-0.3580154561225,0.3109494111066485,-0.9773579,0.2842054750000003
7,16,-1.71,Intercept,15.1203325,0.3333532088029224,14.443655,15.781825
7,16,-1.71,conditionleft,-2.13580048085,0.36781074843549794,-2.85278375,-1.4144614999999998
7,16,-1.71,conditionright,-0.3122943759725,0.2011593176303661,-0.7045914999999999,0.09557461500000008
7,16,-1.35,Intercept,14.92516805,0.3821071265014934,14.1516425,15.6765275
7,16,-1.35,conditionleft,-0.84857113363,0.43282589583709014,-1.72162675,0.002053281500000034
7,16,-1.35,conditionright,-0.011516059439325,0.21224194216852596,-0.433475525,0.39898835
7,16,-1,Intercept,15.1220351,0.30597161939624234,14.532770000000001,15.731359999999999
7,16,-1,conditionleft,-1.52772211825,0.3754290466757397,-2.26639575,-0.7632142
7,16,-1,conditionright,-0.38450645774725,0.17760911871868548,-0.743637325,-0.038654807499999964
8,8,-1.71,Intercept,15.0122481,0.5464136777371102,13.9240875,16.0912075
8,8,-1.71,conditionleft,-2.51308926855,0.7765063551257394,-4.02811425,-0.9344077749999997
8,8,-1.71,conditionright,-0.40237132271475,0.2467977773268777,-0.896202025,0.08677493000000003
8,8,-1.35,Intercept,15.56995425,0.31026778903419144,14.9633775,16.2035025
8,8,-1.35,conditionleft,-1.6666737775,0.5126743642248295,-2.6829392499999996,-0.6355803750000001
8,8,-1.35,conditionright,0.009351122161925,0.31770780530106785,-0.614728125,0.655852825
8,8,-1,Intercept,15.358497,0.29969663785181994,14.7604825,15.957905
8,8,-1,conditionleft,-1.466682923405,0.679734132247889,-2.811339,-0.10717132499999997
8,8,-1,conditionright,-0.236231531287405,0.3055311634573447,-0.83333795,0.35517417500000015
8,12,-1.71,Intercept,14.920934725,0.3941585944084702,14.171275,15.710402499999999
8,12,-1.71,conditionleft,-2.24922495775,0.5067834083048386,-3.23481975,-1.231262499999999
8,12,-1.71,conditionright,0.0577387980354,0.1937833765187097,-0.33349107499999997,0.44515125000000033
8,12,-1.35,Intercept,15.441129325,0.33797722030176103,14.7477325,16.0942125
8,12,-1.35,conditionleft,-2.077943464995,0.5471641895160642,-3.1284215,-0.9677425999999996
8,12,-1.35,conditionright,-0.338152138504,0.24601839678855253,-0.8378672,0.15530382500000006
8,12,-1,Intercept,15.049707375,0.5096981010035755,14.0248475,16.0338475
8,12,-1,conditionleft,-1.050104845075,0.46571714502863265,-1.957481,-0.10345354999999998
8,12,-1,conditionright,0.021595320182695,0.2266031760657908,-0.419959175,0.47063085
8,16,-1.71,Intercept,15.00355795,0.41342690440163454,14.199969999999999,15.808225
8,16,-1.71,conditionleft,-2.0809941675,0.4366832578171888,-2.933434,-1.2372839999999998
8,16,-1.71,conditionright,-0.1023022376077,0.21356455311812073,-0.529022225,0.3307983750000002
8,16,-1.35,Intercept,14.6842958,0.3675861046250774,13.970147500000001,15.40741
8,16,-1.35,conditionleft,-1.187851256185,0.4012203154170212,-1.9527035,-0.40911259999999994
8,16,-1.35,conditionright,-0.06889926360545,0.18164202608087426,-0.4190035,0.288645375
8,16,-1,Intercept,14.839328875,0.3627765631934276,14.112845,15.565405
8,16,-1,conditionleft,-0.9988968344125,0.3543978717229505,-1.68109375,-0.29157924999999935
8,16,-1,conditionright,-0.2927139870115,0.16345803634709097,-0.6093784999999999,0.03228593750000005
9,8,-1.71,Intercept,15.56168145,0.4689750260884594,14.639734999999998,16.5340025
9,8,-1.71,conditionleft,-2.2092118384,0.6890115728325696,-3.57828475,-0.8596566499999999
9,8,-1.71,conditionright,0.110154777614425,0.37440515970376315,-0.6455848,0.883950925
9,8,-1.35,Intercept,14.708712475,0.377948396099789,13.95074,15.454905
9,8,-1.35,conditionleft,-1.025834622993525,0.5984940834236105,-2.14981525,0.20800030000000005
9,8,-1.35,conditionright,-0.381183799168,0.229323534787432,-0.8318722499999999,0.07222658250000007
9,8,-1,Intercept,15.141495625,0.28821621134051295,14.5755625,15.71921
9,8,-1,conditionleft,-1.4295971720425,0.4310520192675543,-2.29458925,-0.5504385999999997
9,8,-1,conditionright,-0.13142247064325,0.2849267268628075,-0.6971497,0.4446005500000002
9,12,-1.71,Intercept,16.013792825,0.44921206181506235,15.099287499999999,16.908197500000004
9,12,-1.71,conditionleft,-2.67294706525,0.4319100103282742,-3.48715175,-1.8120375
9,12,-1.71,conditionright,-0.188641988369,0.2926382411799199,-0.75780645,0.39608512500000004
9,12,-1.35,Intercept,15.0119787,0.3826009299246472,14.22627,15.742402499999999
9,12,-1.35,conditionleft,-1.643878622825,0.43117489468762443,-2.5008855,-0.7787781499999998
9,12,-1.35,conditionright,-0.0792609171923,0.23473425476173132,-0.536382925,0.3910470750000001
9,12,-1,Intercept,15.054415175,0.3194710169168431,14.407955,15.6775225
9,12,-1,conditionleft,-1.1222240774175,0.3970377008513844,-1.90982275,-0.3276365249999999
9,12,-1,conditionright,0.00814586757975,0.2090089077698219,-0.41137675,0.41312815
9,16,-1.71,Intercept,14.864296225,0.39849447673116584,14.06429,15.6198275
9,16,-1.71,conditionleft,-1.8952587435,0.42016698645564066,-2.7175552499999998,-1.06890425
9,16,-1.71,conditionright,-0.4412590821025,0.1799522686930711,-0.785968775,-0.09155217499999976
9,16,-1.35,Intercept,14.510302925,0.26376600579945514,13.9892725,15.03471
9,16,-1.35,conditionleft,-1.475315361525,0.3821494160413316,-2.2187865,-0.7007813249999999
9,16,-1.35,conditionright,0.120766468999475,0.1947989730493276,-0.275036925,0.49251932499999995
9,16,-1,Intercept,15.09360885,0.31139978438191923,14.463455,15.692812499999999
9,16,-1,conditionleft,-1.5113273035,0.3510802205230387,-2.19515525,-0.79875495
9,16,-1,conditionright,-0.18468018830475,0.19391519467925458,-0.565146175,0.19346732500000013
10,8,-1.71,Intercept,14.90718915,0.4377294900493822,14.05777,15.7914375
10,8,-1.71,conditionleft,-1.574429190375,0.424236227773563,-2.37316925,-0.685592425
10,8,-1.71,conditionright,-0.16775989979765,0.2920054612906539,-0.7517286,0.40577432500000005
10,8,-1.35,Intercept,14.567276575,0.7042995719901765,13.2348425,15.998524999999999
10,8,-1.35,conditionleft,-0.74702904692475,0.6951651666413123,-2.134056,0.6296466250000001
10,8,-1.35,conditionright,-0.26419498179025,0.2694182163270681,-0.7950138,0.25680717500000017
10,8,-1,Intercept,15.051156375,0.518829793017797,13.99852,16.024555
10,8,-1,conditionleft,-0.561164209925,0.7139490575054805,-1.958296,0.8525542000000005
10,8,-1,conditionright,-0.539797950964,0.2865251045041647,-1.113466,0.03415150750000026
10,12,-1.71,Intercept,15.086720625,0.33769456363952216,14.4164975,15.764802499999998
10,12,-1.71,conditionleft,-2.0473865165,0.5252354513232617,-3.0945630000000004,-1.02032275
10,12,-1.71,conditionright,-0.5161007096,0.22572691660182603,-0.9549443249999999,-0.07012635499999977
