subj_n,b1,parameter,Estimate,.lower,.upper,.width,.point,.interval
8,-1.71,left,-1.689450981655,-2.7493500136631246,-0.6073246693090429,0.95,median,qi
8,-1.35,left,-1.3052729245174999,-2.38175891916625,-0.23899917211983765,0.95,median,qi
8,-1,left,-1.0087914326725,-1.9459269058906248,-0.0019631911460660373,0.95,median,qi
12,-1.71,left,-1.6924839017875,-2.6386112168125,-0.8038794686800134,0.95,median,qi
12,-1.35,left,-1.34215020678125,-2.166544177889375,-0.4642589041088753,0.95,median,qi
12,-1,left,-1.0119351233725,-1.8192767267515,-0.1786547870590395,0.95,median,qi
16,-1.71,left,-1.6818739793125,-2.3722468563124997,-0.9998771740159376,0.95,median,qi
16,-1.35,left,-1.32920170189525,-2.0362038270312497,-0.6205396373039689,0.95,median,qi
16,-1,left,-0.9997925060175,-1.6744048471161874,-0.21347996564544575,0.95,median,qi
