repx,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
6,12,-1.71,right,-0.0879543894521,0.204303076967827,-0.5028864999999999,0.31045635000000027
6,12,-1.35,left,-1.2572413450825,0.34156867885970016,-1.9442897499999998,-0.5720439249999999
6,12,-1.35,right,-0.4901795852945,0.2808453194905381,-1.0498129999999999,0.07659888250000015
6,12,-1,left,-0.3054920839785,0.5369008872868497,-1.36048875,0.7346238500000004
6,12,-1,right,-0.292184581361775,0.22905919521186874,-0.7438473499999999,0.16339195000000006
6,16,-1.71,left,-1.408654076725,0.41283120601182205,-2.2436815,-0.599142075
6,16,-1.71,right,-0.15045425814975,0.2700640709117365,-0.7232356499999999,0.3628405750000001
6,16,-1.35,left,-1.200395080875,0.2835941867621802,-1.7764919999999997,-0.659859225
6,16,-1.35,right,0.008482302108,0.15952108637546464,-0.308659325,0.32158200000000003
6,16,-1,left,-1.0132310434475,0.3272374930354329,-1.6531075,-0.355323725
6,16,-1,right,-0.2206685866483,0.17301209029684037,-0.5593014999999999,0.11806795000000002
7,8,-1.71,left,-2.0043875965,0.48427670599539074,-2.9721305,-1.0175054999999995
7,8,-1.71,right,0.08173730721185,0.2565799711713034,-0.43815497499999995,0.588411825
7,8,-1.35,left,-2.32031259613175,0.5774302462264509,-3.4503405,-1.1563705
7,8,-1.35,right,-0.350039436932,0.36042804455700206,-1.06918475,0.39596600000000065
7,8,-1,left,-1.140271203185,0.6783912743176801,-2.43113825,0.24955450000000026
7,8,-1,right,-0.34143973679725,0.2666115038044227,-0.862528925,0.18577440000000026
7,12,-1.71,left,-1.8840022991,0.44889993927873845,-2.79353325,-1.0014795
7,12,-1.71,right,-0.3335529280105,0.28639292177799097,-0.902243025,0.22943750000000002
7,12,-1.35,left,-2.1040147540025,0.37823297693705565,-2.839065,-1.3348475000000002
7,12,-1.35,right,-0.42056156271125,0.22472587384362477,-0.8578764249999999,0.0295041525000005
7,12,-1,left,-1.20678799938825,0.4377807392236244,-2.0403245,-0.3098073249999996
7,12,-1,right,-0.3580154561225,0.3109494111066485,-0.9773579,0.2842054750000003
7,16,-1.71,left,-2.13580048085,0.36781074843549794,-2.85278375,-1.4144614999999998
7,16,-1.71,right,-0.3122943759725,0.2011593176303661,-0.7045914999999999,0.09557461500000008
7,16,-1.35,left,-0.84857113363,0.43282589583709014,-1.72162675,0.002053281500000034
7,16,-1.35,right,-0.011516059439325,0.21224194216852596,-0.433475525,0.39898835
